cols,importance,model_name,model_target
order_weekend,0.3149323238777157,tree,y_weekday
order_weekday,0.30391800216780823,tree,y_weekday
order,0.04208487729921069,tree,y_weekday
order_time_12,0.03291740418634328,tree,y_weekday
order_time_13,0.03114404603216526,tree,y_weekday
order_delivery,0.02927406447822037,tree,y_weekday
order_time_17,0.028557189443201608,tree,y_weekday
order_cancel,0.02586590906781584,tree,y_weekday
order_time_20,0.024646483947579786,tree,y_weekday
order_time_19,0.024270617482599125,tree,y_weekday
delta_avg,0.023262502124341573,tree,y_weekday
order_time_11,0.019531944052007276,tree,y_weekday
order_time_15,0.016817389527002385,tree,y_weekday
order_time_21,0.016353609916314384,tree,y_weekday
order_fin,0.014939594453085162,tree,y_weekday
order_time_18,0.014041306515786495,tree,y_weekday
order_takeout,0.013952099049410131,tree,y_weekday
order_time_14,0.012256612959932044,tree,y_weekday
order_time_16,0.011234023419460601,tree,y_weekday
order_weekend,0.2454482558343681,RandomForest,y_weekday
order_weekday,0.12999763146170953,RandomForest,y_weekday
order,0.06894644355936916,RandomForest,y_weekday
order_fin,0.05464833953508797,RandomForest,y_weekday
order_delivery,0.05310414283684544,RandomForest,y_weekday
order_takeout,0.04013854340912893,RandomForest,y_weekday
delta_avg,0.036239182242172145,RandomForest,y_weekday
order_cancel,0.035040394082183304,RandomForest,y_weekday
order_time_19,0.03254395927269403,RandomForest,y_weekday
order_time_12,0.03234737961348189,RandomForest,y_weekday
order_time_16,0.031567662541668116,RandomForest,y_weekday
order_time_11,0.03136437234906349,RandomForest,y_weekday
order_time_13,0.0311987637879905,RandomForest,y_weekday
order_time_14,0.031118849467439327,RandomForest,y_weekday
order_time_21,0.030277959992348533,RandomForest,y_weekday
order_time_18,0.030046394165168282,RandomForest,y_weekday
order_time_17,0.02947187971607428,RandomForest,y_weekday
order_time_15,0.029122253046436043,RandomForest,y_weekday
order_time_20,0.027377593086771,RandomForest,y_weekday
order_weekend,0.44333220982391397,GradientBoosting,y_weekday
order_weekday,0.4432166174738607,GradientBoosting,y_weekday
order,0.021647794863163202,GradientBoosting,y_weekday
delta_avg,0.011727636936360863,GradientBoosting,y_weekday
order_cancel,0.009538823098845364,GradientBoosting,y_weekday
order_time_19,0.007948114956014916,GradientBoosting,y_weekday
order_delivery,0.007354113741055761,GradientBoosting,y_weekday
order_time_16,0.007190044756927491,GradientBoosting,y_weekday
order_time_12,0.006690442840125377,GradientBoosting,y_weekday
order_time_11,0.0054984136886994436,GradientBoosting,y_weekday
order_takeout,0.005022265881903987,GradientBoosting,y_weekday
order_time_21,0.004557690699489104,GradientBoosting,y_weekday
order_time_15,0.004551469624811018,GradientBoosting,y_weekday
order_time_18,0.004159579500869386,GradientBoosting,y_weekday
order_fin,0.004131685037335047,GradientBoosting,y_weekday
order_time_13,0.00400189649001267,GradientBoosting,y_weekday
order_time_17,0.0032794790344820054,GradientBoosting,y_weekday
order_time_14,0.003098886908173705,GradientBoosting,y_weekday
order_time_20,0.0030528346439558205,GradientBoosting,y_weekday
order_weekend,0.31222894553688857,tree,y_weekend
order_weekday,0.24607637869424084,tree,y_weekend
order,0.042892529683577575,tree,y_weekend
order_time_20,0.03609578230812808,tree,y_weekend
order_time_14,0.034511244252335496,tree,y_weekend
order_time_18,0.03411922874879124,tree,y_weekend
delta_avg,0.03240280963682198,tree,y_weekend
order_cancel,0.031593313547627504,tree,y_weekend
order_time_11,0.02802250704366656,tree,y_weekend
order_takeout,0.026697462343011978,tree,y_weekend
order_time_17,0.02452253643274017,tree,y_weekend
order_time_12,0.024109341078248338,tree,y_weekend
order_time_15,0.023362383995735234,tree,y_weekend
order_delivery,0.022918378792544797,tree,y_weekend
order_time_19,0.02105036083822322,tree,y_weekend
order_time_13,0.018547551609411034,tree,y_weekend
order_time_21,0.01452839880135135,tree,y_weekend
order_time_16,0.01424413522089918,tree,y_weekend
order_fin,0.012076711435756818,tree,y_weekend
order_weekend,0.26297354674749024,RandomForest,y_weekend
order_weekday,0.1254572278238065,RandomForest,y_weekend
order,0.060739428065287204,RandomForest,y_weekend
order_fin,0.054200507667399665,RandomForest,y_weekend
order_delivery,0.05062043258933425,RandomForest,y_weekend
order_takeout,0.03832599019771957,RandomForest,y_weekend
order_cancel,0.036126733288278236,RandomForest,y_weekend
delta_avg,0.035654079811463735,RandomForest,y_weekend
order_time_14,0.03303226767253532,RandomForest,y_weekend
order_time_19,0.03275446896731511,RandomForest,y_weekend
