DataCategory,acc,f1,recall,precision,tp,fn,fp,tn,model_name,model_target
train,1.0,1.0,1.0,1.0,1168,0,0,1016,tree,y_weekday
test,0.780982905982906,1.0,0.7911392405063291,0.7796257796257796,375,99,106,356,tree,y_weekday
train,1.0,1.0,1.0,1.0,1168,0,0,1016,RandomForest,y_weekday
test,0.780982905982906,1.0,0.7953586497890295,0.777319587628866,377,97,108,354,RandomForest,y_weekday
train,0.8333333333333334,0.8433734939759037,0.839041095890411,0.8477508650519031,980,188,176,840,GradientBoosting,y_weekday
test,0.7756410256410257,0.8433734939759037,0.7742616033755274,0.7808510638297872,367,107,103,359,GradientBoosting,y_weekday
train,1.0,1.0,1.0,1.0,1124,0,0,1060,tree,y_weekend
test,0.7735042735042735,1.0,0.802,0.7801556420233463,401,99,113,323,tree,y_weekend
train,1.0,1.0,1.0,1.0,1124,0,0,1060,RandomForest,y_weekend
test,0.844017094017094,1.0,0.842,0.8627049180327869,421,79,67,369,RandomForest,y_weekend
train,0.8562271062271062,0.8576609247506799,0.8416370106761566,0.8743068391866913,946,178,136,924,GradientBoosting,y_weekend
test,0.8525641025641025,0.8576609247506799,0.848,0.8724279835390947,424,76,62,374,GradientBoosting,y_weekend
