cols,importance,model_name,model_target
order_weekday,0.3155496549725164,tree,y_weekday
order_weekend,0.2891354760457663,tree,y_weekday
delta_avg,0.046503556444137714,tree,y_weekday
order_time_20,0.03358311458996962,tree,y_weekday
order_time_21,0.03266484463369445,tree,y_weekday
order,0.029941036169776013,tree,y_weekday
order_time_12,0.029419182974875252,tree,y_weekday
order_time_15,0.0259818572378383,tree,y_weekday
order_time_19,0.024448047540899305,tree,y_weekday
order_cancel,0.022546783920831998,tree,y_weekday
order_delivery,0.022083486276452277,tree,y_weekday
order_time_11,0.02119715199135229,tree,y_weekday
order_takeout,0.01996329231940332,tree,y_weekday
order_fin,0.017375764202251433,tree,y_weekday
order_time_17,0.01716848973677714,tree,y_weekday
order_time_18,0.0162857503311355,tree,y_weekday
order_time_14,0.016136767722594366,tree,y_weekday
order_time_16,0.010051101463554644,tree,y_weekday
order_time_13,0.009964641426173673,tree,y_weekday
order_weekend,0.24574972837278788,RandomForest,y_weekday
order_weekday,0.13513950631648639,RandomForest,y_weekday
order,0.060710048432454346,RandomForest,y_weekday
order_fin,0.055193837687554655,RandomForest,y_weekday
order_delivery,0.0512127306261396,RandomForest,y_weekday
order_takeout,0.04056175038432434,RandomForest,y_weekday
delta_avg,0.03735199550266038,RandomForest,y_weekday
order_cancel,0.03643041672029349,RandomForest,y_weekday
order_time_17,0.03307325973464811,RandomForest,y_weekday
order_time_12,0.032509367059610196,RandomForest,y_weekday
order_time_15,0.03249480648926798,RandomForest,y_weekday
order_time_18,0.031829519017870844,RandomForest,y_weekday
order_time_16,0.03134613488725094,RandomForest,y_weekday
order_time_19,0.030436003092217164,RandomForest,y_weekday
order_time_11,0.0303837461994884,RandomForest,y_weekday
order_time_20,0.029435703032605256,RandomForest,y_weekday
order_time_13,0.02943421149062756,RandomForest,y_weekday
order_time_14,0.029023827779845347,RandomForest,y_weekday
order_time_21,0.027683407173867275,RandomForest,y_weekday
order_weekend,0.460581685403516,GradientBoosting,y_weekday
order_weekday,0.40080636188592333,GradientBoosting,y_weekday
delta_avg,0.018572152417197174,GradientBoosting,y_weekday
order_fin,0.014363921402540308,GradientBoosting,y_weekday
order,0.011541174695509904,GradientBoosting,y_weekday
order_time_12,0.009568692911786938,GradientBoosting,y_weekday
order_time_15,0.00900915401277306,GradientBoosting,y_weekday
order_delivery,0.008887084593832494,GradientBoosting,y_weekday
order_takeout,0.00853966445359752,GradientBoosting,y_weekday
order_time_21,0.008303031414304697,GradientBoosting,y_weekday
order_time_20,0.007698494854656134,GradientBoosting,y_weekday
order_cancel,0.006871512754100986,GradientBoosting,y_weekday
order_time_16,0.006060060788996127,GradientBoosting,y_weekday
order_time_11,0.00597343576475149,GradientBoosting,y_weekday
order_time_19,0.005493808778285709,GradientBoosting,y_weekday
order_time_18,0.004525680460155611,GradientBoosting,y_weekday
order_time_14,0.00445258784347502,GradientBoosting,y_weekday
order_time_17,0.0043919248449107145,GradientBoosting,y_weekday
order_time_13,0.004359570719686957,GradientBoosting,y_weekday
order_weekend,0.33059635402985316,tree,y_weekend
order_weekday,0.22357915000101775,tree,y_weekend
order,0.04645330982564579,tree,y_weekend
order_time_12,0.0371133242857412,tree,y_weekend
delta_avg,0.03670090729890007,tree,y_weekend
order_time_13,0.03409816635302528,tree,y_weekend
order_delivery,0.03400037268653811,tree,y_weekend
order_cancel,0.03187932582896508,tree,y_weekend
order_time_15,0.03155157848251502,tree,y_weekend
order_time_16,0.02395738932750247,tree,y_weekend
order_fin,0.02332796548948442,tree,y_weekend
order_time_18,0.021338417343578733,tree,y_weekend
order_time_20,0.02071076590258678,tree,y_weekend
order_takeout,0.01998087922235761,tree,y_weekend
order_time_14,0.019291173589843814,tree,y_weekend
order_time_17,0.01737785112396591,tree,y_weekend
order_time_21,0.01709740215890083,tree,y_weekend
order_time_19,0.01682347189828411,tree,y_weekend
order_time_11,0.014122195151293827,tree,y_weekend
order_weekend,0.24924199583885182,RandomForest,y_weekend
order_weekday,0.11727018011426435,RandomForest,y_weekend
order,0.057495559189167364,RandomForest,y_weekend
order_delivery,0.0524029979165966,RandomForest,y_weekend
order_fin,0.05223925834082057,RandomForest,y_weekend
delta_avg,0.039076794048672564,RandomForest,y_weekend
order_time_19,0.03772053136930735,RandomForest,y_weekend
order_takeout,0.037654407030564205,RandomForest,y_weekend
order_time_16,0.03414142169828362,RandomForest,y_weekend
order_time_12,0.034080536399578025,RandomForest,y_weekend
order_cancel,0.03389877021151087,RandomForest,y_weekend
order_time_15,0.033744160959033986,RandomForest,y_weekend
order_time_11,0.0336054316106057,RandomForest,y_weekend
order_time_13,0.033066381614897555,RandomForest,y_weekend
order_time_14,0.03292726610213222,RandomForest,y_weekend
order_time_17,0.03193896042673102,RandomForest,y_weekend
order_time_18,0.031261415740219005,RandomForest,y_weekend
order_time_21,0.03120397595812925,RandomForest,y_weekend
order_time_20,0.027029955430633905,RandomForest,y_weekend
order_weekend,0.4705816600972462,GradientBoosting,y_weekend
order_weekday,0.3710468404994329,GradientBoosting,y_weekend
delta_avg,0.020709395847446774,GradientBoosting,y_weekend
order,0.014904280908712046,GradientBoosting,y_weekend
order_delivery,0.014412695321316124,GradientBoosting,y_weekend
order_time_16,0.012941519600459181,GradientBoosting,y_weekend
