cols,importance,model_name,model_target
order_weekday,0.3189685924125349,tree,y_weekday
order_weekend,0.3077034831405566,tree,y_weekday
delta_avg,0.03350625263068869,tree,y_weekday
order_delivery,0.029493609684526242,tree,y_weekday
order_time_19,0.028725626095642585,tree,y_weekday
order_time_11,0.02621356353956119,tree,y_weekday
order,0.026165013830966217,tree,y_weekday
order_time_12,0.025460572399503605,tree,y_weekday
order_time_20,0.025233551172669025,tree,y_weekday
order_time_21,0.024065289284507043,tree,y_weekday
order_time_16,0.02350032812929119,tree,y_weekday
order_takeout,0.022612929114680658,tree,y_weekday
order_fin,0.02144377257341686,tree,y_weekday
order_time_15,0.020606276062145885,tree,y_weekday
order_time_18,0.014393467466712502,tree,y_weekday
order_time_14,0.014186612015812896,tree,y_weekday
order_time_17,0.013966956510289799,tree,y_weekday
order_cancel,0.013398117983539836,tree,y_weekday
order_time_13,0.010355985952954394,tree,y_weekday
order_weekend,0.2270666173468147,RandomForest,y_weekday
order_weekday,0.12869854704062667,RandomForest,y_weekday
order,0.06721477425901361,RandomForest,y_weekday
order_delivery,0.05711259239008319,RandomForest,y_weekday
order_fin,0.05341632758371616,RandomForest,y_weekday
order_takeout,0.041844015848523534,RandomForest,y_weekday
delta_avg,0.039089198697867186,RandomForest,y_weekday
order_cancel,0.034957652980007546,RandomForest,y_weekday
order_time_16,0.034208054879929825,RandomForest,y_weekday
order_time_17,0.033137108981347405,RandomForest,y_weekday
order_time_20,0.03276519073995118,RandomForest,y_weekday
order_time_15,0.03273085882848936,RandomForest,y_weekday
order_time_21,0.03243499914189487,RandomForest,y_weekday
order_time_14,0.03219612212057337,RandomForest,y_weekday
order_time_11,0.031960606055813925,RandomForest,y_weekday
order_time_19,0.031379255058889444,RandomForest,y_weekday
order_time_13,0.030399075911347148,RandomForest,y_weekday
order_time_18,0.030083276112190686,RandomForest,y_weekday
order_time_12,0.02930572602292036,RandomForest,y_weekday
order_weekend,0.4542049853536292,GradientBoosting,y_weekday
order_weekday,0.4080433544762446,GradientBoosting,y_weekday
order,0.021598804035624298,GradientBoosting,y_weekday
order_delivery,0.015251193105726367,GradientBoosting,y_weekday
delta_avg,0.013448255646793156,GradientBoosting,y_weekday
order_takeout,0.011006166923236235,GradientBoosting,y_weekday
order_time_12,0.009640605768362431,GradientBoosting,y_weekday
order_time_16,0.008620641755117954,GradientBoosting,y_weekday
order_fin,0.008615874580134844,GradientBoosting,y_weekday
order_time_19,0.006906641860767784,GradientBoosting,y_weekday
order_time_20,0.006049081981931842,GradientBoosting,y_weekday
order_time_17,0.0058908540034026385,GradientBoosting,y_weekday
order_cancel,0.005505320522531564,GradientBoosting,y_weekday
order_time_14,0.005256271763206716,GradientBoosting,y_weekday
order_time_15,0.005239107812640144,GradientBoosting,y_weekday
order_time_11,0.004677037600656691,GradientBoosting,y_weekday
order_time_21,0.003990490456660789,GradientBoosting,y_weekday
order_time_13,0.003342106186554807,GradientBoosting,y_weekday
order_time_18,0.002713206166777883,GradientBoosting,y_weekday
order_weekend,0.30385947890033743,tree,y_weekend
order_weekday,0.2626375172826432,tree,y_weekend
order,0.0385688403094164,tree,y_weekend
delta_avg,0.038074663323063,tree,y_weekend
order_time_13,0.03474612086737068,tree,y_weekend
order_takeout,0.03390878898488526,tree,y_weekend
order_time_16,0.03284719277692425,tree,y_weekend
order_time_17,0.032355532113940405,tree,y_weekend
order_cancel,0.028708609804681644,tree,y_weekend
order_time_18,0.02867519589175915,tree,y_weekend
order_time_14,0.027521408420707594,tree,y_weekend
order_time_15,0.026691941469210494,tree,y_weekend
order_time_12,0.022602886588822584,tree,y_weekend
order_time_11,0.02045269434017751,tree,y_weekend
order_time_20,0.01790625030553054,tree,y_weekend
order_delivery,0.01612693237415863,tree,y_weekend
order_time_19,0.013950380876358031,tree,y_weekend
order_time_21,0.01256772557345644,tree,y_weekend
order_fin,0.007797839796556546,tree,y_weekend
order_weekend,0.24778455556195209,RandomForest,y_weekend
order_weekday,0.1153256570092551,RandomForest,y_weekend
order_delivery,0.05696636683431572,RandomForest,y_weekend
order,0.05629615127664587,RandomForest,y_weekend
order_fin,0.04993311510736133,RandomForest,y_weekend
order_takeout,0.04163645894640746,RandomForest,y_weekend
delta_avg,0.03817656036476345,RandomForest,y_weekend
order_time_19,0.03608136701451399,RandomForest,y_weekend
order_time_13,0.034651959628477925,RandomForest,y_weekend
order_time_17,0.0341305509138029,RandomForest,y_weekend
order_cancel,0.03380328304809216,RandomForest,y_weekend
order_time_14,0.03335386797981352,RandomForest,y_weekend
order_time_11,0.03249926585480014,RandomForest,y_weekend
order_time_18,0.03247754915878218,RandomForest,y_weekend
order_time_12,0.03231413920470909,RandomForest,y_weekend
order_time_21,0.03203101334058202,RandomForest,y_weekend
order_time_15,0.03184339421612556,RandomForest,y_weekend
order_time_16,0.030891479779041376,RandomForest,y_weekend
order_time_20,0.029803264760558168,RandomForest,y_weekend
order_weekend,0.47926334342268395,GradientBoosting,y_weekend
order_weekday,0.37504196635535375,GradientBoosting,y_weekend
order_time_19,0.015984144666857603,GradientBoosting,y_weekend
order_delivery,0.014311017921550522,GradientBoosting,y_weekend
delta_avg,0.014025937250833056,GradientBoosting,y_weekend
order_time_11,0.010262904689259498,GradientBoosting,y_weekend
order,0.010255378854742172,GradientBoosting,y_weekend
order_takeout,0.010251597576844258,GradientBoosting,y_weekend
order_fin,0.009345921312592206,GradientBoosting,y_weekend
order_time_21,0.009238365505806468,GradientBoosting,y_weekend
order_time_17,0.008511097063149104,GradientBoosting,y_weekend
order_time_16,0.007339192718462166,GradientBoosting,y_weekend
order_time_13,0.007262591676409457,GradientBoosting,y_weekend
