DataCategory,acc,f1,recall,precision,tp,fn,fp,tn,model_name,model_target
train,1.0,1.0,1.0,1.0,1144,0,0,903,tree,y_weekday
test,0.7676537585421412,1.0,0.7891566265060241,0.7987804878048781,393,105,99,281,tree,y_weekday
train,1.0,1.0,1.0,1.0,1144,0,0,903,RandomForest,y_weekday
test,0.7482915717539863,1.0,0.7730923694779116,0.7809330628803245,385,113,108,272,RandomForest,y_weekday
train,0.8319491939423547,0.8496503496503497,0.8496503496503497,0.8496503496503497,972,172,172,731,GradientBoosting,y_weekday
test,0.7710706150341685,0.8496503496503497,0.7971887550200804,0.7987927565392354,397,101,100,280,GradientBoosting,y_weekday
train,1.0,1.0,1.0,1.0,1009,0,0,1038,tree,y_weekend
test,0.724373576309795,1.0,0.7452380952380953,0.6986607142857143,313,107,135,323,tree,y_weekend
train,1.0,1.0,1.0,1.0,1009,0,0,1038,RandomForest,y_weekend
test,0.8314350797266514,1.0,0.8047619047619048,0.8366336633663366,338,82,66,392,RandomForest,y_weekend
train,0.8549096238397655,0.8496202531645569,0.8315163528245788,0.8685300207039337,839,170,127,911,GradientBoosting,y_weekend
test,0.8394077448747153,0.8496202531645569,0.8142857142857143,0.8444444444444444,342,78,63,395,GradientBoosting,y_weekend
