DataCategory,acc,f1,recall,precision,tp,fn,fp,tn,model_name,model_target
train,1.0,1.0,1.0,1.0,1011,0,0,900,tree,y_weekday
test,0.8046398046398047,1.0,0.8371559633027523,0.8039647577092511,365,71,89,294,tree,y_weekday
train,1.0,1.0,1.0,1.0,1011,0,0,900,RandomForest,y_weekday
test,0.8168498168498168,1.0,0.823394495412844,0.8310185185185185,359,77,73,310,RandomForest,y_weekday
train,0.8608058608058609,0.8696078431372548,0.8773491592482691,0.8620019436345967,887,124,142,758,GradientBoosting,y_weekday
test,0.8205128205128205,0.8696078431372548,0.8348623853211009,0.8291571753986332,364,72,75,308,GradientBoosting,y_weekday
train,1.0,1.0,1.0,1.0,933,0,0,978,tree,y_weekend
test,0.7765567765567766,1.0,0.7648514851485149,0.7783375314861462,309,95,88,327,tree,y_weekend
train,1.0,1.0,1.0,1.0,933,0,0,978,RandomForest,y_weekend
test,0.8559218559218559,1.0,0.8044554455445545,0.8928571428571429,325,79,39,376,RandomForest,y_weekend
train,0.8759811616954474,0.8661773009599096,0.8220793140407289,0.9152744630071599,767,166,71,907,GradientBoosting,y_weekend
test,0.8608058608058609,0.8661773009599096,0.8193069306930693,0.8897849462365591,331,73,41,374,GradientBoosting,y_weekend
