cols,importance,model_name,model_target
order_weekend,0.32219129311052885,tree,y_weekday
order_weekday,0.278741056611953,tree,y_weekday
order_fin,0.07592788574282082,tree,y_weekday
order_time_17,0.03574667630255988,tree,y_weekday
order_time_12,0.031191508488496455,tree,y_weekday
order_time_14,0.029126156216230423,tree,y_weekday
order_time_11,0.028711078806528855,tree,y_weekday
order_takeout,0.027603289517660723,tree,y_weekday
order_time_20,0.02130130029635072,tree,y_weekday
order_cancel,0.02096023668047038,tree,y_weekday
order_time_16,0.020148703874105854,tree,y_weekday
order_time_13,0.019982405556888957,tree,y_weekday
order_time_18,0.019017227893129176,tree,y_weekday
delta_avg,0.01734789087465581,tree,y_weekday
order,0.014634986427243849,tree,y_weekday
order_delivery,0.012367639509614805,tree,y_weekday
order_time_19,0.009786776004649987,tree,y_weekday
order_time_15,0.007829954059425973,tree,y_weekday
order_time_21,0.007383934026685598,tree,y_weekday
order_weekend,0.2669035599479953,RandomForest,y_weekday
order_weekday,0.14809717297748237,RandomForest,y_weekday
order,0.060437713472187134,RandomForest,y_weekday
order_fin,0.05197339755627937,RandomForest,y_weekday
order_delivery,0.04948631662786343,RandomForest,y_weekday
order_takeout,0.03750780114986803,RandomForest,y_weekday
delta_avg,0.035294009112011984,RandomForest,y_weekday
order_time_17,0.031173609041130375,RandomForest,y_weekday
order_time_16,0.030815615501420198,RandomForest,y_weekday
order_cancel,0.030604811436194347,RandomForest,y_weekday
order_time_15,0.03037875462515341,RandomForest,y_weekday
order_time_19,0.030133766465357727,RandomForest,y_weekday
order_time_12,0.02916702854848568,RandomForest,y_weekday
order_time_13,0.02912339235637823,RandomForest,y_weekday
order_time_14,0.028313007574024603,RandomForest,y_weekday
order_time_11,0.02791896580696203,RandomForest,y_weekday
order_time_18,0.02785151102620503,RandomForest,y_weekday
order_time_21,0.027718841929898475,RandomForest,y_weekday
order_time_20,0.027100724845102234,RandomForest,y_weekday
order_weekend,0.47799266851176964,GradientBoosting,y_weekday
order_weekday,0.4184915958127926,GradientBoosting,y_weekday
order_delivery,0.011376014476139902,GradientBoosting,y_weekday
order,0.011367895827223069,GradientBoosting,y_weekday
delta_avg,0.008275755873372639,GradientBoosting,y_weekday
order_time_19,0.0073226209594774196,GradientBoosting,y_weekday
order_fin,0.006816652723856046,GradientBoosting,y_weekday
order_time_12,0.006231774982391501,GradientBoosting,y_weekday
order_time_21,0.006081081365923846,GradientBoosting,y_weekday
order_takeout,0.006068703746891209,GradientBoosting,y_weekday
order_time_16,0.005270287920112116,GradientBoosting,y_weekday
order_cancel,0.005214739912114207,GradientBoosting,y_weekday
order_time_13,0.005094714016141272,GradientBoosting,y_weekday
order_time_15,0.004906079497685761,GradientBoosting,y_weekday
order_time_11,0.00466748367758702,GradientBoosting,y_weekday
order_time_18,0.004168589054018952,GradientBoosting,y_weekday
order_time_14,0.004140714968418435,GradientBoosting,y_weekday
order_time_17,0.004046875042220952,GradientBoosting,y_weekday
order_time_20,0.0024657516318635957,GradientBoosting,y_weekday
order_weekend,0.2906574980548378,tree,y_weekend
order_weekday,0.2714264782589133,tree,y_weekend
order,0.049953182264167645,tree,y_weekend
delta_avg,0.04410315972255506,tree,y_weekend
order_time_13,0.03744066953957189,tree,y_weekend
order_time_21,0.03028465394611524,tree,y_weekend
order_cancel,0.027441185527243138,tree,y_weekend
order_delivery,0.026825582898254603,tree,y_weekend
order_time_16,0.025710564688888417,tree,y_weekend
order_takeout,0.025398429176493435,tree,y_weekend
order_time_19,0.02435688377900411,tree,y_weekend
order_time_11,0.02268788980635474,tree,y_weekend
order_time_20,0.02183638097012504,tree,y_weekend
order_time_15,0.021506358013379055,tree,y_weekend
order_time_12,0.01858812431573797,tree,y_weekend
order_fin,0.018087737681290725,tree,y_weekend
order_time_18,0.01704254729057043,tree,y_weekend
order_time_14,0.014112460530889792,tree,y_weekend
order_time_17,0.01254021353560768,tree,y_weekend
order_weekend,0.26190408005412624,RandomForest,y_weekend
order_weekday,0.1295417443843821,RandomForest,y_weekend
order,0.061066262583160454,RandomForest,y_weekend
order_fin,0.053587890684959526,RandomForest,y_weekend
order_delivery,0.04825470128283614,RandomForest,y_weekend
order_takeout,0.03953227462263522,RandomForest,y_weekend
delta_avg,0.03714012869778027,RandomForest,y_weekend
order_time_19,0.03442796481759281,RandomForest,y_weekend
order_cancel,0.03334363688380305,RandomForest,y_weekend
order_time_14,0.03199425306137446,RandomForest,y_weekend
order_time_21,0.031599957054971935,RandomForest,y_weekend
order_time_16,0.03102418956221992,RandomForest,y_weekend
order_time_18,0.030996411492868345,RandomForest,y_weekend
order_time_13,0.030872686044945544,RandomForest,y_weekend
order_time_11,0.03038418987707381,RandomForest,y_weekend
order_time_20,0.029736396354434293,RandomForest,y_weekend
order_time_17,0.02859599779734459,RandomForest,y_weekend
order_time_12,0.02809611612944181,RandomForest,y_weekend
order_time_15,0.02790111861404946,RandomForest,y_weekend
order_weekend,0.4865322828460733,GradientBoosting,y_weekend
order_weekday,0.3857017183687506,GradientBoosting,y_weekend
delta_avg,0.012245503512729156,GradientBoosting,y_weekend
order_time_11,0.011886810845311695,GradientBoosting,y_weekend
order_time_19,0.011644878689891692,GradientBoosting,y_weekend
order_time_13,0.01058316698349071,GradientBoosting,y_weekend
order_takeout,0.010552065366811279,GradientBoosting,y_weekend
order,0.008115909741855389,GradientBoosting,y_weekend
order_time_21,0.008066298271001596,GradientBoosting,y_weekend
order_time_20,0.00767208633395861,GradientBoosting,y_weekend
order_delivery,0.007576513405810064,GradientBoosting,y_weekend
order_time_15,0.007328204832579611,GradientBoosting,y_weekend
order_time_16,0.006482322088516292,GradientBoosting,y_weekend
order_time_18,0.006119138877149818,GradientBoosting,y_weekend
order_time_14,0.0053075169744946716,GradientBoosting,y_weekend
order_time_12,0.004894454367387893,GradientBoosting,y_weekend
order_fin,0.0031875531721732605,GradientBoosting,y_weekend
order_time_17,0.003143029712692218,GradientBoosting,y_weekend
order_cancel,0.0029605456093222417,GradientBoosting,y_weekend
